board,moves
"[[4, 2, 3, 5, 6, 3, 2, 4], [1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, -2, -4]]",d2d4
"[[4, 2, 3, 5, 6, 3, 2, 4], [1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, -2, -4]]",d7d5
"[[4, 2, 3, 5, 6, 3, 2, 4], [1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, -1, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",g1f3
"[[4, 2, 3, 5, 6, 3, 0, 4], [1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, -1, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",g8f6
"[[4, 2, 3, 5, 6, 3, 0, 4], [1, 1, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",c2c4
"[[4, 2, 3, 5, 6, 3, 0, 4], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, -1, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",c7c6
"[[4, 2, 3, 5, 6, 3, 0, 4], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",e2e3
"[[4, 2, 0, 5, 6, 3, 0, 4], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 3, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, -2, -3, -5, -6, -3, 0, -4]]",c8f5
"[[4, 2, 0, 5, 6, 3, 0, 4], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 3, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, -3, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, -2, -3, -5, -6, 0, 0, -4]]",f1d3
"[[4, 2, 0, 5, 6, 3, 0, 4], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 3, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, -2, -3, -5, -6, 0, 0, -4]]",f5d3
